Q68.6	Discoid meniscus
M12.261	Villonodular synovitis (pigmented), right knee
M12.262	Villonodular synovitis (pigmented), left knee
M12.361	Palindromic rheumatism, right knee
M12.362	Palindromic rheumatism, left knee
M12.461	Intermittent hydrarthrosis, right knee
M12.462	Intermittent hydrarthrosis, left knee
M12.561	Traumatic arthropathy, right knee
M12.562	Traumatic arthropathy, left knee
M12.9	Arthropathy, unspecified
M17.0	Bilateral primary osteoarthritis of knee. Primary localized osteoarthrosis, lower leg
M17.10	Osteoarthrosis (osteoarthritis), localized, primary, lower leg (knee)
M17.11	Osteoarthrosis, (osteoarthritis), localized, primary, right knee
M17.12	Osteoarthrosis (osteoarthritis), localized, primary, left knee
M17.2	Bilateral post-traumatic osteoarthritis of knee
M17.31	Unilateral post-traumatic osteoarthritis, right knee
M17.32	Unilateral post-traumatic osteoarthritis, left knee
M17.4	Other bilateral secondary osteoarthritis of knee
M17.5	Other unilateral secondary osteoarthritis of knee
M17.9	Osteoarthritis of knee, unspecified. Localized osteoarthrosis not specified whether primary or secondary, lower leg
M17.9	Osteoarthrosis, unspecified whether generalized or localized, lower leg. Osteoarthritis of knee, unspecified
M17.9	Osteoarthritis of knee, unspecified
M21.061	Valgus deformity, not elsewhere classified, right knee
M21.062	Valgus deformity, not elsewhere classified, left knee
M21.161	Varus deformity, not elsewhere classified, right knee
M21.162	Varus deformity, not elsewhere classified, left knee
M21.861	Other specified acquired deformities of right lower leg
M21.862	Other specified acquired deformities of left lower leg
M21.869	Other specified acquired deformities of unspecified lower leg
M22.01	Recurrent dislocation of patella, right knee
M22.02	Recurrent dislocation of patella, left knee
M22.11	Recurrent subluxation of patella, right knee
M22.12	Recurrent subluxation of patella, left knee
M22.2X1	Patellofemoral disorders, right knee
M22.2X2	Patellofemoral disorders, left knee
M22.2X9	Patellofemoral disorders, unspecified knee
M22.3X1	Other derangements of patella, right knee
M22.3X2	Other derangements of patella, left knee
M22.41	Chondromalacia patella, right knee
M22.42	Chondromalacia patella, left knee
M22.8X1	Other disorders of patella, right knee
M22.8X2	Other disorders of patella, left knee
M22.90	Unspecified disorder of patella, unspecified knee
M22.91	Unspecified disorder of patella, right knee
M22.92	Unspecified disorder of patella, left knee
M23.000	Cystic meniscus, unspecified lateral meniscus, right knee
M23.001	Cystic meniscus, unspecified lateral meniscus, left knee
M23.003	Cystic meniscus, unspecified medial meniscus, right knee
M23.004	Cystic meniscus, unspecified medial meniscus, left knee
M23.006	Cystic meniscus, unspecified meniscus, right knee
M23.007	Cystic meniscus, unspecified meniscus, left knee
M23.011	Cystic meniscus, anterior horn of medial meniscus, right knee
M23.012	Cystic meniscus, anterior horn of medial meniscus, left knee
M23.021	Cystic meniscus, posterior horn of medial meniscus, right knee
