G54.1	Lumbosacral plexus disorders
G54.4	Lumbosacral root lesions, not elsewhere classified
G57.00	Lesion of sciatic nerve unspecified lower limb (piriformis syndrome)
G57.01	Lesion of sciatic nerve right lower limb (piriformis syndrome)
G57.02	Lesion of sciatic nerve left lower limb (piriformis syndrome)
G58.9	Lumbar lumbosacral nerve root compression or entrapment
M24.28	Disorder of ligament vertebrae (laxity of ligament)
M24.80	Other specific joint derangements of unspecified joint, not elsewhere classified
M40.05	Postural kyphosis, thoracolumbar region
M40.15	Other secondary kyphosis, thoracolumbar region
M40.205	Unspecified kyphosis, thoracolumbar region
M40.209	Unspecified kyphosis, site unspecified
M40.295	Other kyphosis, thoracolumbar region
M40.35	Flatback syndrome thoracolumbar region
M40.36	Flatback syndrome lumbar region
M40.36	Flatback syndrome, lumbar region
M40.37	Flatback syndrome lumbosacral region
M40.37	Flatback syndrome, lumbosacral region
M40.40	Lordosis acquired, postural unspecified region
M40.45	Postural lordosis, thoracolumbar region
M40.46	Postural lordosis, lumbar region
M40.47	Postural lordosis, lumbosacral region
M40.55	Lordosis, unspecified thoracolumbar region
M40.56	Lordosis, unspecified lumbar region
M40.57	Lordosis, unspecified lumbosacral region
M41.116	Juvenile idiopathic scoliosis, lumbar region
M41.117	Juvenile idiopathic scoliosis, lumbosacral region
M41.126	Adolescent idiopathic scoliosis, lumbar region
M41.127	Adolescent idiopathic scoliosis, lumbosacral region
M41.26	Other idiopathic scoliosis, lumbar region
M41.27	Other idiopathic scoliosis, lumbosacral region
M41.46	Neuromuscular scoliosis, lumbar region
M41.47	Neuromuscular scoliosis, lumbosacral region
M41.56	Other secondary scoliosis, lumbar region
M41.57	Other secondary scoliosis, lumbosacral region
M41.86	Other forms of scoliosis, lumbar region
M41.87	Other forms of scoliosis, lumbosacral region
M43.00	Spondylolysis unspecified
M43.05	Spondylolysis, thoracolumbar region
M43.06	Spondylolysis, lumbar region
M43.07	Spondylolysis, lumbosacral region
M43.08	Spondylolysis, sacral and sacrococcygeal region
M43.15	Spondylolisthesis (acquired) thoracolumbar region
M43.16	Spondylolisthesis (acquired) lumbar region
M43.17	Spondylolisthesis (acquired) lumbosacral region
M43.18	Spondylolisthesis (acquired), sacral and sacrococcygeal region
M43.26	Fusion of spine, lumbar region
M43.27	Fusion of spine, lumbosacral region
M43.27	Fusion of spine, lumbosacral spine
M43.28	Fusion of spine, sacral and sacrococcygeal region
M43.28	Fusion of spine, sacral and sacrococcygeal region
M43.8X5	Other specified deforming dorsopathies, thoracolumbar region (retrolisthesis)
M43.8X6	Other specified deforming dorsopathies, lumbar region (retrolisthesis)
M43.8X7	Other specified deforming dorsopathies, lumbosacral region (retrolisthesis)
M43.8X8	Other specified deforming dorsopathies, sacral and sacrococcygeal region (retrolisthesis)
M43.8X9	Other curvatures of spine (retrolisthesis)
M43.8X9	Unspecified curvature of spine (retrolisthesis)
M45.5	Ankylosing spondylitis of thoracolumbar region
M45.6	Ankylosing spondylitis lumbar region
M45.7	Ankylosing spondylitis of lumbosacral region
M45.8	Ankylosing spondylitis sacral and sacrococcygeal region
M46.05	Spinal enthesopathy thoracolumbar region
M46.06	Spinal enthesopathy lumbar region
M46.07	Spinal enthesopathy lumbosacral region
M46.08	Spinal enthesopathy, sacral and sacrococcygeal region
M46.1	Sacroiliitis , not elsewhere classified
M46.46	Discitis, unspecified lumbar, region. Other and unspecified disc disorder, lumbar region
M46.47	Discitis, unspecified lumboscral, region.
M47.15	Spondylosis (osteoarthritis) with myelopathy, thoracolumbar region
M47.16	Spondylosis (osteoarthritis) with myelopathy, lumbar region
M47.17	Spondylosis (osteoarthritis) with myelopathy, lumbosacral region
M47.18	Spondylosis (osteoarthritis) with myelopathy, sacral and sacrococcygeal region
M47.26	Other spondylosis with radiculopathy, lumbar region (osteoarthritis)
M47.27	Other spondylosis with radiculopathy, lumbosacral region (osteoarthritis)
M47.28	Other spondylosis with radiculopathy, sacral and sacrococcygeal region (osteoarthritis)
M47.815	Spondylosis (osteoarthritis) without myelopathy or radiculopathy, thoracolumbar region
M47.816	Spondylosis (osteoarthritis) without myelopathy or radiculopathy, lumbar region
M47.817	Spondylosis (osteoarthritis) without myelopathy or radiculopathy, lumbosacral region
M47.818	Spondylosis (osteoarthritis) without myelopathy or radiculopathy, sacral and sacrococcygeal region
M47.896	Other spondylosis, lumbar region
M47.897	Other spondylosis, lumbosacral region
M47.898	Other spondylosis, sacral and sacrococcygeal region
M48.05	Spinal stenosis, thoracolumbar region
M48.06	Spinal stenosis, lumbar region (deleted 10-1-2017)
M48.061	Spinal stenosis, lumbar region without neurogenic claudication (new 10-1-2017)
M48.062	Spinal stenosis, lumbar region with neurogenic claudication (new 10-1-2017)
M48.07	Spinal stenosis, lumbosacral region
M48.08	Spinal stenosis, sacral and sacrococcygeal region
M48.16	Ankylosing hyperostosis, lumbar region (DISH)
M48.17	Ankylosing hyperostosis, lumbosacral region (DISH)
M48.18	Ankylosing hyperostosis, sacral and sacrococcygeal region (DISH)
M48.20	Kissing spine unspecified
M48.25	Kissing spine, thoracolumbar region
M48.26	Kissing spine, lumbar region
M48.27	Kissing spine, lumbosacral region
M48.35	Traumatic spondylopathy, thoraco lumbar region
M48.36	Traumatic spondylopathy, lumbar region
M48.37	Traumatic spondylopathy, lumbosacral region
M48.38	Traumatic spondylopathy, sacral and sacrococcygeal region
M48.46XA	Fatigue fracture of vertebra, lumbar region, initial encounter for fracture
M48.47XA	Fatigue fracture of vertebra, lumbosacral region, initial encounter for fracture
M48.48XA	Fatigue fracture of vertebra, sacral and sacrococcygeal region, initial encounter for fracture
M48.8X6	Other specified spondylopathies, lumbar region
M48.8X7	Other specified spondylopathies, lumbosacral region
M48.8X8	Other specified spondylopathies, sacral and sacrococcygeal region
M51.05	Thoracolumbar intervertebral disc disorder with myleopathy
M51.06	Lumbar intervertebral disc disorder with myleopathy
M51.06	Lumbosacral intervertebral disc disorder with myleopathy
M51.15	Thoracolumbar intervertebral disc disorders with radiculopathy
M51.16	Lumbar intervertebral disc disorders with radiculopathy
M51.17	Lumbosacral intervertebral disc disorders with radiculopathy
M51.25	Intervertebral disc displacement, thoracolumbar region
M51.26	Intervertebral disc displacement, lumbar region
M51.27	Intervertebral disc displacement, lumbosacral region
M51.35	Thoracolumbar intervertebral disc degeneration
M51.35	Other intervertebral disc degeneration thoracolumbar region
M51.36	Lumbar intervertebral disc degeneration
M51.36	Other intervertebral disc degeneration lumbar region
M51.37	Lumbosacral intervertebral disc degeneration
M51.37	Other intervertebral disc degeneration lumbosacral region
M51.45	Schmorl's nodes thoracolumbar region
M51.46	Schmorls nodes, lumbar region
M51.85	Other thoracolumbar intervertebral disc disorders
M51.86	Other lumbar intervertebral disc disorders
M51.87	Other lumboscral intervertebral disc disorders
M51.9	Unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder
M53.2X6	Spinal instabilities lumbar region
M53.2X7	Spinal instabilities lumbosacral region
M53.2X8	Spinal instabilities sacral and sacrococcygeal region
M53.2X8	Spinal instabilities, sacral and sacrococcygeal region
M53.3	Sacrococcygeal disorders, not elsewhere classified
M53.3	Coccygodynia (Coccydynia)
M53.3	Sacrococcygeal disorders, not elsewhere classified
M53.3	Sacrococcygeal disorders, not elsewhere classified
M53.85	Other specified dorsopathies (facet syndrome), thoracolumbar region
M53.86	Other specified dorsopathies, lumbar region (facet syndrome)
M53.86	Other specified dorsopathies (facet syndrome), lumbar region
M53.87	Other specified dorsopathies, lumbosacral region (facet syndrome)
M53.88	Other specified dorsopathies, sacral and sacrococcygeal region (facet syndrome)
M53.9	Dorsopathy unspecified
M54.05	Panniculitis affecting regions of the back thoracolumbar region
